-760.2866311,2209.292672
-821.6854715,2310.971648
-730.5555313,2202.296472
-738.8156982,2212.737386
-745.2019566,2223.789835
-753.0074911,2235.788175
-764.1962639,2248.131272
-773.7220131,2260.12612
-784.2062671,2272.107066
-795.3280437,2283.693743
-840.9226806,2306.098382
-794.1066096,2180.349764
-792.9967521,2206.608378
-751.4679655,2198.787143
-771.9241111,2222.581288
-793.1613814,2225.706964
-795.2414672,2245.712949
-781.7506461,2234.81777
-807.8657983,2253.032535
-754.3890198,2169.037388
-763.5862839,2179.404186
-738.5782923,2182.725148
-747.1298149,2160.291938
-774.9981473,2193.288926
