========================================================================================Rover 1.0 201221
Voltage:  15.9
Standby
hdg:   0, bias:  98
{v   0}
msg: 09:33:48.173{LA195}
{lt  0.64}
msg: 09:33:49.164{LT21.7595}
msg: 09:33:49.174{LN7.1798}
msg: 09:33:49.182{LA195}
{lt  0.64}
msg: 09:33:50.172{LT21.7750}
msg: 09:33:50.182{LN7.1683}
msg: 09:33:50.189{LA195}
{lt  0.64}
msg: 09:33:51.183{LT21.7814}
msg: 09:33:51.195{LN7.1381}
msg: 09:33:51.201{LA195}
{lt  0.64}
msg: 09:33:52.193{LT21.7958}
msg: 09:33:52.202{LN7.0614}
msg: 09:33:52.211{LA195}
{lt  0.64}
msg: 09:33:53.202{LT21.8041}
msg: 09:33:53.211{LN7.0384}
msg: 09:33:53.219{LA195}
{lt  0.64}
msg: 09:33:54.211{LT21.8542}
msg: 09:33:54.221{LN7.0070}
msg: 09:33:54.228{LA195}
{lt  0.64}
msg: 09:33:55.217{LT21.8621}
msg: 09:33:55.229{LN7.0168}
msg: 09:33:55.236{LA195}
{lt  0.64}
msg: 09:33:56.227{LT21.8707}
msg: 09:33:56.237{LN7.0286}
msg: 09:33:56.244{LA195}
{lt  0.64}
msg: 09:33:57.235{LT21.8711}
msg: 09:33:57.245{LN7.0510}
msg: 09:33:57.253{LA195}
{lt  0.64}
msg: 09:33:58.246{LT21.8506}
msg: 09:33:58.256{LN7.1323}
msg: 09:33:58.265{LA231}
{lt  0.76}
msg: 09:33:59.256{LT21.8624}
msg: 09:33:59.267{LN7.1280}
msg: 09:33:59.274{LA231}
{lt  0.76}
msg: 09:34:00.265{LT21.8761}
msg: 09:34:00.274{LN7.1129}
msg: 09:34:00.283{LA231}
{lt  0.76}
msg: 09:34:01.275{LT21.8747}
msg: 09:34:01.285{LN7.1122}
msg: 09:34:01.292{LA231}
{lt  0.76}
msg: 09:34:02.284{LT21.8700}
msg: 09:34:02.294{LN7.1111}
msg: 09:34:02.302{LA231}
{lt  0.76}
msg: 09:34:03.292{LT21.8624}
msg: 09:34:03.302{LN7.0970}
msg: 09:34:03.310{LA231}
{lt  0.76}
msg: 09:34:04.300{LT21.8527}
msg: 09:34:04.311{LN7.1068}
msg: 09:34:04.318{LA231}
{lt  0.76}
msg: 09:34:05.313{LT21.8275}
msg: 09:34:05.324{LN7.0891}
msg: 09:34:05.331{LA231}
{lt  0.76}
msg: 09:34:06.321{LT21.8092}
msg: 09:34:06.332{LN7.0776}
msg: 09:34:06.339{LA231}
{lt  0.76}
msg: 09:34:07.330{LT21.7933}
msg: 09:34:07.341{LN7.0844}
msg: 09:34:07.348{LA231}
{lt  0.76}
msg: 09:34:08.338{LT21.7897}
msg: 09:34:08.349{LN7.1140}
msg: 09:34:08.356{LA231}
{lt  0.76}
msg: 09:34:09.349{LT21.7685}
msg: 09:34:09.358{LN7.0988}
msg: 09:34:09.367{LA231}
{lt  0.76}
msg: 09:34:10.358{LT21.7422}
msg: 09:34:10.369{LN7.0510}
msg: 09:34:10.376{LA231}
{lt  0.76}
msg: 09:34:11.367{LT21.7300}
msg: 09:34:11.378{LN7.0445}
msg: 09:34:11.385{LA231}
{lt  0.76}
msg: 09:34:12.380{LT21.7084}
msg: 09:34:12.391{LN7.1078}
msg: 09:34:12.398{LA231}
{lt  0.76}
msg: 09:34:13.389{LT21.7105}
msg: 09:34:13.400{LN7.1492}
msg: 09:34:13.407{LA231}
{lt  0.76}
msg: 09:34:14.398{LT21.6979}
msg: 09:34:14.408{LN7.1446}
msg: 09:34:14.416{LA231}
{lt  0.76}
msg: 09:34:15.407{LT21.7220}
msg: 09:34:15.418{LN7.0945}
msg: 09:34:15.425{LA231}
{lt  0.76}
msg: 09:34:16.415{LT21.6695}
msg: 09:34:16.426{LN7.0567}
msg: 09:34:16.433{LA231}
