Rover 1.0 200813
Standby
{h  0}
{v   0}
{s   0}
msg: 10:57:23 {LN7.2457}
msg: 10:57:24 {LA7872}
msg: 10:57:26 {LT21.9370}
msg: 10:57:26 {LN7.2461}
msg: 10:57:26 {LA7891}
msg: 10:57:28 {LT21.9370}
msg: 10:57:28 {LN7.2461}
msg: 10:57:29 {LA7915}
msg: 10:57:30 {LT21.9366}
msg: 10:57:30 {LN7.2457}
msg: 10:57:31 {LA7911}
msg: 10:57:33 {LT21.9366}
msg: 10:57:33 {LN7.2450}
msg: 10:57:33 {LA7905}
msg: 10:57:34 {LT21.9359}
msg: 10:57:34 {LN7.2443}
msg: 10:57:35 {LA7896}
msg: 10:57:36 {LT21.9355}
msg: 10:57:36 {LN7.2443}
msg: 10:57:37 {LA7889}
msg: 10:57:38 {O151}
{h163}
msg: 10:57:39 {LT21.9355}
msg: 10:57:39 {LN7.2428}
msg: 10:57:39 {O150}
{h162}
msg: 10:57:40 {LA7907}
msg: 10:57:41 {LT21.9355}
msg: 10:57:41 {LN7.2421}
msg: 10:57:41 {LA7911}
msg: 10:57:43 {LT21.9366}
msg: 10:57:43 {LN7.2414}
msg: 10:57:43 {LA7936}
msg: 10:57:45 {LT21.9366}
msg: 10:57:45 {LN7.2407}
msg: 10:57:46 {LA8023}
msg: 10:57:47 {LT21.9373}
msg: 10:57:47 {LN7.2400}
msg: 10:57:48 {LA8016}
msg: 10:57:49 {O151}
{h163}
msg: 10:57:49 {O150}
{h162}
msg: 10:57:49 {O151}
{h163}
msg: 10:57:50 {LT21.9377}
msg: 10:57:50 {LN7.2378}
msg: 10:57:50 {LA8012}
msg: 10:57:50 {O150}
{h162}
msg: 10:57:52 {LT21.9377}
msg: 10:57:52 {LN7.2374}
msg: 10:57:53 {LA8089}
msg: 10:57:54 {O151}
{h163}
msg: 10:57:54 {O150}
{h162}
msg: 10:57:54 {LT21.9373}
msg: 10:57:54 {LN7.2371}
msg: 10:57:55 {LA8123}
msg: 10:57:57 {LT21.9373}
msg: 10:57:57 {LN7.2360}
msg: 10:57:57 {LA8129}
msg: 10:57:58 {LT21.9373}
msg: 10:57:58 {LN7.2360}
msg: 10:57:59 {LA8117}
msg: 10:58:00 {LT21.9362}
msg: 10:58:00 {LN7.2360}
msg: 10:58:01 {LA8075}
msg: 10:58:03 {LT21.9348}
msg: 10:58:03 {LN7.2342}
msg: 10:58:03 {LA8054}
msg: 10:58:05 {LT21.9348}
msg: 10:58:05 {LN7.2324}
msg: 10:58:06 {LA8005}
msg: 10:58:07 {LT21.9337}
msg: 10:58:07 {LN7.2320}
msg: 10:58:08 {LA8020}
msg: 10:58:10 {LT21.9337}
msg: 10:58:10 {LN7.2292}
msg: 10:58:10 {LA8015}
